,synchronicity_centrality,synchronicity_density,synchronicity_group_size,synchronicity_score,metronome_centrality,metronome_density,metronome_group_size,metronome_score,shares_centrality,shares_density,shares_group_size,shares_score,misinfo_centrality,misinfo_density,misinfo_group_size,misinfo_score,viral_centrality,viral_density,viral_group_size,viral_score,content_uniqueness_centrality,content_uniqueness_density,content_uniqueness_group_size,content_uniqueness_score,network_diversity_centrality,network_diversity_density,network_diversity_group_size,network_diversity_score,content_originality_centrality,content_originality_density,content_originality_group_size,content_originality_score,Archetype_ID
b26f0c92a5d0db6d952517ce43625258,0.0,0.0,0,0.0,0.09327036599763872,0.14762471975185912,819,1.6862549763198103,0.1288515406162465,0.1025042163525922,662,2.3560258571931225,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00437636761487965,1.0,3,0.04100946372239748,0.04481792717086835,0.05073736366148241,654,0.30985915492957744,0.0,0.0,1,0.3939393939393939,2
68315e81ed306141e9a20b4cea010f6e,0.0,0.0,0,0.0,0.20543093270365997,0.14762471975185912,819,1.2872039893460294,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
48b1650017106d0218a958129c2e6547,0.09191176470588235,1.0,26,1.3862943611198906,0.014167650531286893,0.14762471975185912,819,2.845833923410356,0.15966386554621848,0.1025042163525922,662,2.574031267727719,0.18256130790190736,0.11752508361204013,300,1.9030899869919435,0.0,0.0,0,0.0,0.030634573304157548,1.0,15,0.013438735177865613,0.0896358543417367,0.05073736366148241,654,0.22641509433962265,0.028368794326241134,1.0,5,0.2537313432835821,3
dfe4d8e42e2461d46c4801273fba9005,0.0,0.0,0,0.0,0.048406139315230225,0.14762471975185912,819,1.788588322002525,0.06022408963585434,0.1025042163525922,662,1.9637878273455553,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0087527352297593,1.0,5,0.016666666666666666,0.03361344537815126,0.05073736366148241,654,0.42857142857142855,0.035460992907801414,1.0,6,0.2857142857142857,3
c9836d737ebe8fca6b18aeffd3726a36,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.12464985994397759,0.1025042163525922,662,2.271841606536499,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.02072538860103627,0.025210084033613446,0.05073736366148241,654,0.5238095238095238,0.0,0.0,0,0.0,2
0d6fa127c40dad71851f89be502b66b1,0.34191176470588236,1.0,94,0.6931471805599453,0.04368358913813459,0.14762471975185912,819,1.8259522656158178,0.03221288515406163,0.1025042163525922,662,3.699056854547668,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.03938730853391685,1.0,19,0.0007887472065203102,0.03361344537815126,0.05073736366148241,654,0.3548387096774194,0.0070921985815602835,1.0,2,0.08695652173913043,3
b6091922458583f0e849f36782b8a34e,0.34191176470588236,1.0,94,0.6931471805599453,0.19716646989374262,0.14762471975185912,819,1.4684252774543753,0.09523809523809523,0.1025042163525922,662,3.163757523981956,0.0326975476839237,1.0,13,0.6989700043360189,0.0,0.0,0,0.0,0.006564551422319475,1.0,4,0.04539559014267185,0.0546218487394958,0.05073736366148241,654,0.14785992217898833,0.0,0.0,0,0.0,4
fa27d112f1c9f83fcefdb4dd01dd82e5,0.0,0.0,0,0.0,0.20543093270365997,0.14762471975185912,819,1.2588526366724464,0.05322128851540616,0.1025042163525922,662,1.9493900066449128,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.002188183807439825,1.0,2,0.050505050505050504,0.02661064425770308,0.05073736366148241,654,0.4444444444444444,0.0,0.0,0,0.0,2
1f1c9415caedfb612d8c380396436da6,0.0,0.0,0,0.0,0.20543093270365997,0.14762471975185912,819,1.290069252048036,0.004201680672268907,1.0,4,0.7781512503836436,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.07282913165266107,1.0,53,1.0,0.0,0.0,0,0.0,0
2a460b1ae3f62c22f8334faf99813b4e,0.34191176470588236,1.0,94,0.6931471805599453,0.20425029515938606,0.14762471975185912,819,1.2833000849274174,0.11484593837535013,0.1025042163525922,662,2.931966114728173,0.18528610354223432,0.11752508361204013,300,1.8976270912904414,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.004519774011299435,0.02661064425770308,0.05073736366148241,654,0.11797752808988764,0.02127659574468085,1.0,4,0.4444444444444444,4
497b4a8175118ce025ca715136974c60,0.1323529411764706,1.0,37,2.1972245773362196,0.11570247933884296,0.14762471975185912,819,1.1669755907159813,0.06582633053221289,0.1025042163525922,662,3.3675422735205767,0.10899182561307902,0.11752508361204013,300,2.0530784434834195,0.0,0.0,0,0.0,0.0087527352297593,1.0,5,0.02,0.02661064425770308,0.05073736366148241,654,0.11224489795918367,0.0,0.0,0,0.0,1
